OBJECTID,AREA,dcode,dname,dname_e,pcode,pname,NUMPOINTS
29,11804564,1025,เขตบางพลัด,Bang Phlat,10,กรุงเทพมหานคร,381
30,16319268,1017,เขตห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,780
31,17075578,1045,เขตวังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,523
32,51732144,1048,เขตทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,584
33,128628048,1011,เขตลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,562
34,8465891,1026,เขตดินแดง,Din Daeng,10,กรุงเทพมหานคร,542
35,35767720,1019,เขตตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,503
36,11329900,1002,เขตดุสิต,Dusit,10,กรุงเทพมหานคร,340
37,28068656,1044,เขตสะพานสูง,Saphan Sung,10,กรุงเทพมหานคร,195
39,9214668,1014,เขตพญาไท,Phaya Thai,10,กรุงเทพมหานคร,483
40,12323945,1020,เขตบางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,414
41,7167652,1037,เขตราชเทวี,Ratchathewi,10,กรุงเทพมหานคร,519
42,5361067,1001,เขตพระนคร,Phra Nakhon,10,กรุงเทพมหานคร,232
43,2504113,1008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,10,กรุงเทพมหานคร,86
44,8032768,1007,เขตปทุมวัน,Parthum Wan,10,กรุงเทพมหานคร,366
45,47890656,1040,เขตบางแค,Bang Khae,10,กรุงเทพมหานคร,690
46,24113560,1034,เขตสวนหลวง,Suanluang,10,กรุงเทพมหานคร,713
47,12996544,1039,เขตวัฒนา,Vadhana,10,กรุงเทพมหานคร,329
48,6298272,1016,เขตบางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,188
49,19182494,1022,เขตภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,403
50,1392972.75,1013,เขตสัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,26
51,13240401,1033,เขตคลองเตย,Khlong Toei,10,กรุงเทพมหานคร,733
52,8461864,1015,เขตธนบุรี,Thon buri,10,กรุงเทพมหานคร,778
53,5965976,1018,เขตคลองสาน,Khlong San,10,กรุงเทพมหานคร,400
54,53728764,1032,เขตประเวศ,Pra Wet,10,กรุงเทพมหานคร,543
55,4012576,1004,เขตบางรัก,Bang Rak,10,กรุงเทพมหานคร,312
56,36201384,1023,เขตหนองแขม,Nong Khaem,10,กรุงเทพมหานคร,364
58,7259143,1028,เขตสาทร,Sathon,10,กรุงเทพมหานคร,306
60,12504782,1012,เขตยานนาวา,Yan na wa,10,กรุงเทพมหานคร,461
62,23167158,1035,เขตจอมทอง,Chom Thong,10,กรุงเทพมหานคร,614
63,8312167,1031,เขตบางคอแหลม,Bang Kho laen,10,กรุงเทพมหานคร,170
64,13578695,1009,เขตพระโขนง,Phra Khanong,10,กรุงเทพมหานคร,188
66,12333130,1024,เขตราษฏร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,480
67,35857236,1050,เขตบางบอน,Bang Bon,10,กรุงเทพมหานคร,481
68,18947526,1047,เขตบางนา,Bang Na,10,กรุงเทพมหานคร,458
69,122207808,1021,เขตบางขุนเทียน,Bang Khun thain,10,กรุงเทพมหานคร,788
10,36691444,1036,เขตดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,475
11,240448192,1003,เขตหนองจอก,Nong Chok,10,กรุงเทพมหานคร,248
12,43612880,1042,เขตสายไหม,Sai Mai,10,กรุงเทพมหานคร,280
13,120176920,1046,เขตคลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,235
14,22669208,1041,เขตหลักสี่,Lak Si,10,กรุงเทพมหานคร,601
16,40959096,1005,เขตบางเขน,Bang Khen,10,กรุงเทพมหานคร,649
20,32656716,1030,เขตจตุจักร,Chatu Chak,10,กรุงเทพมหานคร,2262
21,25380514,1043,เขตคันนายาว,Khan Na Yao,10,กรุงเทพมหานคร,434
22,61120416,1010,เขตมีนบุรี,Min Buri,10,กรุงเทพมหานคร,356
23,21266434,1038,เขตลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,470
24,12885789,1029,เขตบางซื่อ,Bang Sue,10,กรุงเทพมหานคร,802
25,23404956,1027,เขตบึงกุ่ม,Bueng Kum,10,กรุงเทพมหานคร,379
28,27587404,1006,เขตบางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,725
72,32950616,1049,เขตทุ่งครุ,Thung khru,10,กรุงเทพมหานคร,358
