AREA,dcode,dname,dname_e,pname,acc_count
11804564,1025,เขตบางพลัด,Bang Phlat,กรุงเทพมหานคร,309
16319268,1017,เขตห้วยขวาง,Huai Khwang,กรุงเทพมหานคร,537
17075578,1045,เขตวังทองหลาง,Wang Thong Lang,กรุงเทพมหานคร,419
51732144,1048,เขตทวีวัฒนา,Thawi Watthana,กรุงเทพมหานคร,449
128628048,1011,เขตลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,769
8465891,1026,เขตดินแดง,Din Daeng,กรุงเทพมหานคร,451
35767720,1019,เขตตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,467
11329900,1002,เขตดุสิต,Dusit,กรุงเทพมหานคร,308
28068656,1044,เขตสะพานสูง,Saphan Sung,กรุงเทพมหานคร,185
9214668,1014,เขตพญาไท,Phaya Thai,กรุงเทพมหานคร,407
12323945,1020,เขตบางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,330
7167652,1037,เขตราชเทวี,Ratchathewi,กรุงเทพมหานคร,476
5361067,1001,เขตพระนคร,Phra Nakhon,กรุงเทพมหานคร,211
2504113,1008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,119
8032768,1007,เขตปทุมวัน,Parthum Wan,กรุงเทพมหานคร,457
47890656,1040,เขตบางแค,Bang Khae,กรุงเทพมหานคร,431
24113560,1034,เขตสวนหลวง,Suanluang,กรุงเทพมหานคร,568
12996544,1039,เขตวัฒนา,Vadhana,กรุงเทพมหานคร,357
6298272,1016,เขตบางกอกใหญ่,Bangkok Yai,กรุงเทพมหานคร,98
19182494,1022,เขตภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,267
1392972.75,1013,เขตสัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,39
13240401,1033,เขตคลองเตย,Khlong Toei,กรุงเทพมหานคร,637
8461864,1015,เขตธนบุรี,Thon buri,กรุงเทพมหานคร,422
5965976,1018,เขตคลองสาน,Khlong San,กรุงเทพมหานคร,250
53728764,1032,เขตประเวศ,Pra Wet,กรุงเทพมหานคร,529
4012576,1004,เขตบางรัก,Bang Rak,กรุงเทพมหานคร,271
36201384,1023,เขตหนองแขม,Nong Khaem,กรุงเทพมหานคร,184
7259143,1028,เขตสาทร,Sathon,กรุงเทพมหานคร,247
12504782,1012,เขตยานนาวา,Yan na wa,กรุงเทพมหานคร,367
23167158,1035,เขตจอมทอง,Chom Thong,กรุงเทพมหานคร,353
8312167,1031,เขตบางคอแหลม,Bang Kho laen,กรุงเทพมหานคร,176
13578695,1009,เขตพระโขนง,Phra Khanong,กรุงเทพมหานคร,202
12333130,1024,เขตราษฏร์บูรณะ,Rat Burana,กรุงเทพมหานคร,214
35857236,1050,เขตบางบอน,Bang Bon,กรุงเทพมหานคร,259
18947526,1047,เขตบางนา,Bang Na,กรุงเทพมหานคร,453
122207808,1021,เขตบางขุนเทียน,Bang Khun thain,กรุงเทพมหานคร,561
36691444,1036,เขตดอนเมือง,Don Mueang,กรุงเทพมหานคร,410
240448192,1003,เขตหนองจอก,Nong Chok,กรุงเทพมหานคร,255
43612880,1042,เขตสายไหม,Sai Mai,กรุงเทพมหานคร,342
120176920,1046,เขตคลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,289
22669208,1041,เขตหลักสี่,Lak Si,กรุงเทพมหานคร,521
40959096,1005,เขตบางเขน,Bang Khen,กรุงเทพมหานคร,588
32656716,1030,เขตจตุจักร,Chatu Chak,กรุงเทพมหานคร,1846
25380514,1043,เขตคันนายาว,Khan Na Yao,กรุงเทพมหานคร,307
61120416,1010,เขตมีนบุรี,Min Buri,กรุงเทพมหานคร,343
21266434,1038,เขตลาดพร้าว,Lat Phrao,กรุงเทพมหานคร,380
12885789,1029,เขตบางซื่อ,Bang Sue,กรุงเทพมหานคร,699
23404956,1027,เขตบึงกุ่ม,Bueng Kum,กรุงเทพมหานคร,238
27587404,1006,เขตบางกะปิ,Bang Kapi,กรุงเทพมหานคร,675
32950616,1049,เขตทุ่งครุ,Thung khru,กรุงเทพมหานคร,174
